Дата,Тип документа,Название,Количество,Цена,Сумма,Валовая прибыль (руб),Валовая прибыль (%),Сотрудник,Статус
01.01.2023 - 13:39,Заказ,Восстановление цепи питания,1,4157,4157,3665,88.16454173682945,Петров Роман,Выдан
01.01.2023 - 13:43,Заказ,Чистка системы охлаждения с заменой термопасты,1,1479,1479,1375,92.96822177146721,Иванов Сергей,Выдан
01.01.2023 - 13:50,Заказ,Чехол силиконовый прозрачный,1,303,303,245,80.85808580858085,Петров Роман,Выдан
01.01.2023 - 18:26,Заказ,Кабель USB - Lightning (Foxconn),1,581,581,434,74.69879518072288,Иванов Сергей,Выдан
02.01.2023 - 11:51,Заказ,Дисплей iPhone 11 (Копия AAA),1,2548,2548,1105,43.36734693877551,Петров Роман,Выдан
02.01.2023 - 18:23,Заказ,Диагностика,1,515,515,515,100.0,Администратор,Выдан
02.01.2023 - 19:05,Заказ,Диагностика,1,473,473,473,100.0,Иванов Сергей,Выдан
03.01.2023 - 13:02,Заказ,Установка Windows 10/11 + Драйвера,2,1203,2406,2406,100.0,Иванов Сергей,Выдан
03.01.2023 - 15:29,Продажа,Кабель USB - Lightning (Foxconn),1,651,651,498,76.49769585253456,Администратор,
04.01.2023 - 10:13,Заказ,Кабель USB - Lightning (Foxconn),1,571,571,420,73.5551663747811,Администратор,Выдан
04.01.2023 - 11:29,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1166,1166,1070,91.76672384219555,Администратор,Выдан
04.01.2023 - 13:23,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5749,5749,1917,33.34492955296574,Петров Роман,Выдан
04.01.2023 - 14:33,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,437,437,234,53.546910755148744,Сидоров Алексей,
05.01.2023 - 10:27,Продажа,Защитное стекло 3D для iPhone 11/XR,1,527,527,476,90.32258064516128,Петров Роман,
05.01.2023 - 14:59,Заказ,Чехол силиконовый прозрачный,1,318,318,261,82.0754716981132,Петров Роман,Выдан
