Дата,Тип документа,Название,Количество,Цена,Сумма,Валовая прибыль (руб),Валовая прибыль (%),Сотрудник,Статус
01.01.2024 - 15:55,Продажа,Блок питания Apple 20W (Copy),1,1179,1179,773,65.56403731976252,Петров Роман,
01.01.2024 - 17:10,Заказ,Установка Windows 10/11 + Драйвера,1,1210,1210,1210,100.0,Администратор,Выдан
01.01.2024 - 18:06,Заказ,Защитное стекло 3D для iPhone 11/XR,1,526,526,478,90.8745247148289,Иванов Сергей,Выдан
02.01.2024 - 10:00,Заказ,Защитное стекло 3D для iPhone 11/XR,1,456,456,408,89.47368421052632,Иванов Сергей,Выдан
02.01.2024 - 10:11,Заказ,Установка Windows 10/11 + Драйвера,1,1114,1114,1114,100.0,Сидоров Алексей,Выдан
02.01.2024 - 11:58,Заказ,Блок питания Apple 20W (Copy),1,1226,1226,822,67.04730831973899,Петров Роман,Выдан
02.01.2024 - 12:12,Заказ,Дисплей iPhone 11 (Копия AAA),1,2474,2474,1055,42.64349232012935,Иванов Сергей,Выдан
02.01.2024 - 14:48,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,410,410,215,52.4390243902439,Петров Роман,Выдан
02.01.2024 - 17:22,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1243,1243,1141,91.7940466613033,Иванов Сергей,Выдан
03.01.2024 - 11:36,Заказ,Восстановление цепи питания,1,4268,4268,3755,87.98031865042174,Иванов Сергей,Выдан
03.01.2024 - 15:42,Заказ,Дисплей iPhone 11 (Копия AAA),1,2466,2466,1109,44.97161394971614,Иванов Сергей,Выдан
03.01.2024 - 17:46,Заказ,Кабель USB - Lightning (Foxconn),1,574,574,423,73.69337979094077,Петров Роман,Выдан
03.01.2024 - 19:28,Заказ,Защитное стекло 3D для iPhone 11/XR,1,486,486,434,89.30041152263375,Иванов Сергей,Выдан
04.01.2024 - 12:05,Заказ,Прошивка Android/iOS,1,927,927,927,100.0,Администратор,Выдан
04.01.2024 - 12:26,Заказ,Восстановление цепи питания,1,4335,4335,3825,88.23529411764706,Администратор,Выдан
04.01.2024 - 19:09,Заказ,Дисплей iPhone 11 (Копия AAA),2,2619,5238,2562,48.911798396334476,Сидоров Алексей,Выдан
05.01.2024 - 12:10,Заказ,Защитное стекло 3D для iPhone 11/XR,1,470,470,418,88.93617021276596,Сидоров Алексей,Выдан
